OPT__FLU_INT_SCHEME,OPT__INT_PHASE,VorPairLin_kx,OPT__REF_FLU_INT_SCHEME,Mean_L1_Error
8,0,1,8,1.1108900494207064e-07
8,0,9,8,0.0006087941082404734
8,0,17,8,0.011860438285029244
8,0,25,8,0.07246696130451674
8,0,33,8,0.5950654381082926
8,0,41,8,0.8802142143553997
8,0,49,8,0.8984202712534037
8,0,57,8,0.9003481297447897
8,1,1,8,4.1534240015722885e-05
8,1,9,8,0.018659358092136966
8,1,17,8,0.12421769489017748
8,1,25,8,0.16353944691653616
8,1,33,8,0.617445741203773
8,1,41,8,0.9293186503368815
8,1,49,8,0.9233939861633946
8,1,57,8,0.9032066305594455
